task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,predicted_duration_days
Refactoring,High,Junior,Other,Critical,1,4,1,34,7,19,False,4,False,21.42
Code Review,High,Mid,Java,Low,1,3,0,19,7,8,True,4,True,17.95
Documentation,High,Senior,Other,Medium,9,4,3,35,9,6,False,1,True,16.24
Client Meeting,Medium,Mid,Java,Low,3,4,2,25,9,18,False,3,False,8.78
Feature Dev,Low,Mid,C++,Medium,6,5,3,31,2,9,False,0,False,4.65
Code Review,Medium,Senior,Other,Critical,3,3,2,41,1,5,False,1,False,6.09
Design Review,High,Mid,JavaScript,Medium,12,1,0,64,7,9,False,2,False,28.8
Refactoring,High,Junior,Java,Low,6,2,1,39,6,23,True,3,True,51.33
Design Review,Low,Senior,Other,Low,5,2,1,31,4,11,True,4,False,5.86
Design Review,High,Junior,C++,Medium,13,2,0,15,2,22,False,4,False,11.81
Bug Fix,High,Junior,Go,Medium,4,5,0,29,8,6,True,3,False,21.21
Testing,Low,Tech Lead,Python,Low,2,5,3,45,7,3,False,4,False,6.61
Refactoring,High,Junior,Python,Medium,4,1,0,79,2,10,False,0,True,66.66
Refactoring,Low,Mid,Other,Critical,6,4,3,37,5,19,True,3,True,8.66
Testing,Medium,Senior,Go,High,3,1,0,43,10,2,True,4,False,9.14
Bug Fix,High,Senior,Java,Medium,7,5,3,47,1,18,True,3,True,25.78
Feature Dev,High,Mid,Java,Medium,2,2,3,39,6,10,False,0,True,21.94
Documentation,Low,Senior,Java,Critical,12,1,2,6,6,7,False,3,False,0.7
Client Meeting,High,Junior,Go,Low,2,2,3,6,1,6,True,4,True,8.5
Design Review,Medium,Tech Lead,Go,Low,13,1,3,23,8,2,False,1,True,5.98
Feature Dev,Low,Senior,JavaScript,High,1,4,1,59,10,3,False,3,False,7.77
Refactoring,High,Mid,Go,Medium,9,3,2,9,2,7,False,4,True,7.09
Refactoring,Medium,Mid,JavaScript,High,4,4,1,56,1,6,True,2,True,20.41
Code Review,Low,Senior,C++,Low,10,1,2,76,10,22,True,2,False,12.31
Feature Dev,Low,Tech Lead,JavaScript,Medium,7,5,3,77,7,21,False,4,False,9.43
Bug Fix,High,Senior,Java,High,10,4,1,22,6,18,True,2,True,10.02
Refactoring,Medium,Mid,Java,Medium,2,2,1,41,3,13,False,4,True,19.37
Client Meeting,High,Junior,Go,Critical,3,4,0,62,7,0,False,1,True,46.04
Documentation,High,Mid,Go,Medium,6,5,2,35,9,4,True,2,True,23.62
Design Review,Medium,Junior,Java,Critical,6,1,1,55,10,11,True,3,False,19.31
Bug Fix,High,Tech Lead,Go,Critical,6,4,0,31,1,17,False,3,True,10.58
Feature Dev,Low,Senior,Go,High,13,1,2,28,5,12,True,1,False,3.12
Refactoring,Medium,Junior,Python,Medium,8,2,0,4,9,13,False,3,True,2.63
Code Review,Low,Tech Lead,Go,Medium,2,1,1,46,1,1,True,3,True,7.85
Documentation,Low,Senior,Other,Low,12,3,0,62,7,5,True,4,False,11.72
Client Meeting,High,Mid,Python,High,4,3,2,6,8,14,False,4,False,2.83
Client Meeting,Low,Junior,Other,Critical,3,4,3,20,10,4,False,0,True,5.4
Deployment,High,Tech Lead,C++,Low,3,5,0,37,1,12,False,0,True,14.57
Testing,Low,Tech Lead,Java,Low,3,3,2,25,4,11,False,0,False,2.62
Refactoring,Low,Tech Lead,Python,Medium,3,1,0,24,1,12,True,1,False,2.31
Testing,High,Senior,Java,Critical,8,5,2,52,2,6,True,3,True,22.82
Refactoring,Medium,Senior,JavaScript,Low,12,2,2,10,3,12,False,4,True,4.25
Bug Fix,Medium,Senior,JavaScript,Low,4,4,1,36,2,12,False,4,True,15.31
Feature Dev,Medium,Tech Lead,Other,Medium,3,1,0,24,2,15,True,0,True,4.72
Documentation,High,Tech Lead,Java,High,12,4,3,33,7,7,True,0,True,9.75
Refactoring,High,Senior,C++,Low,6,2,3,6,8,22,False,3,True,3.95
Deployment,Medium,Junior,C++,Critical,4,4,1,5,6,0,False,4,True,2.84
Bug Fix,High,Mid,Java,Medium,11,3,2,24,2,12,False,0,False,9.0
Refactoring,Medium,Junior,Other,High,7,5,1,13,9,20,True,0,True,5.92
Design Review,High,Tech Lead,C++,Low,9,5,2,34,7,19,False,4,True,18.74
Feature Dev,Low,Junior,JavaScript,Low,10,2,3,80,5,16,False,1,False,23.76
Design Review,High,Junior,Other,Low,5,3,3,73,9,14,True,3,True,96.09
Design Review,Low,Mid,Go,Critical,8,4,3,29,9,21,True,0,False,3.48
Documentation,Medium,Junior,Go,Low,12,4,3,72,8,12,True,4,False,40.82
Refactoring,Medium,Mid,Java,High,9,5,1,67,1,20,False,4,True,28.49
Client Meeting,High,Mid,Other,Medium,6,1,2,7,6,12,False,4,False,3.67
Deployment,High,Junior,Python,Low,3,3,1,47,6,8,False,1,False,34.9
Deployment,High,Tech Lead,Java,Medium,6,5,2,27,4,20,True,4,False,8.27
Client Meeting,Low,Mid,Go,Low,6,4,1,37,2,21,False,1,False,7.33
Deployment,Low,Senior,C++,Medium,10,2,3,79,4,22,True,2,False,10.67
Bug Fix,Low,Junior,Go,Critical,6,3,0,66,9,8,False,4,False,16.63
Code Review,High,Senior,C++,High,5,2,0,28,5,20,True,4,True,14.88
