task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Bug Fix,Low,Senior,Java,Medium,3,1,3,6,4,16,True,0,False,1.51,1,0,0,0,1.63
Documentation,Low,Mid,Other,Critical,6,4,2,12,10,14,True,1,False,4.48,1,1,2,0,2.33
Testing,High,Junior,Python,Medium,13,4,1,26,3,17,False,0,False,1.63,3,1,0,0,6.18
Testing,Low,Tech Lead,C++,High,11,1,2,22,6,12,False,1,False,1.03,1,0,0,0,4.62
Deployment,Medium,Tech Lead,Java,High,3,4,3,6,10,10,False,2,True,3.51,2,1,0,1,1.9
Client Meeting,Medium,Tech Lead,Go,High,9,5,0,18,9,10,False,0,False,2.98,3,0,2,0,3.36
Documentation,High,Mid,Java,High,13,1,2,26,2,10,False,0,True,6.59,0,0,0,1,6.06
Deployment,Low,Mid,Java,Critical,9,2,1,18,2,14,False,3,True,3.99,1,0,1,0,3.56
Code Review,High,Mid,Go,Medium,1,1,1,2,10,18,True,0,True,5.84,0,0,1,0,0.5
Deployment,Low,Tech Lead,C++,Medium,2,4,2,4,9,16,False,3,True,3.59,1,2,1,0,1.2
Feature Dev,Medium,Mid,JavaScript,Critical,4,5,3,8,1,11,False,0,False,2.19,3,2,0,0,2.16
Client Meeting,Low,Tech Lead,JavaScript,Critical,5,2,1,10,9,11,True,3,False,5.5,0,1,0,1,2.02
Code Review,High,Junior,Java,Low,10,5,3,20,7,11,True,1,True,3.43,1,4,0,0,5.53
Documentation,Medium,Senior,Python,Low,8,5,0,16,9,9,False,0,False,4.31,2,0,2,1,2.82
Refactoring,Medium,Junior,Java,High,2,2,2,4,2,15,True,1,False,3.56,1,0,1,0,1.29
Documentation,Low,Junior,JavaScript,Medium,11,4,3,22,1,13,False,1,False,3.4,1,2,0,1,4.03
Design Review,Low,Senior,Java,Medium,11,2,1,22,7,12,False,3,True,6.08,0,0,1,1,3.95
Documentation,Low,Junior,C++,Low,8,2,2,16,9,15,True,3,True,2.16,1,1,0,0,3.9
Refactoring,Medium,Junior,Python,High,3,4,0,6,9,17,True,2,False,4.1,1,1,1,1,1.23
Testing,Medium,Tech Lead,Python,High,10,4,2,20,7,17,False,0,False,2.37,2,2,0,0,4.24
Code Review,Medium,Senior,Java,Critical,13,2,3,26,10,14,False,2,False,4.71,0,1,1,0,5.22
Bug Fix,Low,Senior,Java,Medium,3,1,3,6,3,9,False,1,True,3.36,0,1,0,0,1.66
Bug Fix,Medium,Mid,Java,Critical,1,4,3,2,9,16,True,0,False,5.34,0,2,0,2,0.86
Feature Dev,High,Tech Lead,C++,High,13,3,3,26,3,12,False,2,True,3.28,1,1,1,0,6.69
Bug Fix,Medium,Tech Lead,JavaScript,Critical,7,5,3,14,9,17,False,3,True,4.19,1,2,1,1,3.45
Testing,Medium,Mid,JavaScript,Critical,8,4,3,16,3,9,False,2,True,6.23,0,1,0,3,3.39
Documentation,Medium,Senior,Java,Critical,6,4,2,12,1,12,False,3,False,2.26,3,1,0,0,3.01
Testing,Low,Mid,Java,Medium,8,3,3,16,5,18,False,1,False,3.76,1,1,1,0,2.93
Client Meeting,Medium,Mid,Python,Medium,2,5,0,4,8,11,False,2,False,3.28,2,2,1,0,1.11
Client Meeting,Low,Senior,Go,Critical,8,1,2,16,8,14,False,2,False,1.45,1,0,0,0,3.34
Feature Dev,Medium,Mid,JavaScript,High,6,2,0,12,1,10,False,2,False,3.68,1,0,1,0,2.37
Documentation,Low,Tech Lead,Other,Medium,5,3,3,10,2,17,False,2,False,3.2,1,1,1,0,2.14
Feature Dev,Low,Mid,Other,Critical,5,3,0,10,3,16,False,2,False,1.53,3,0,0,0,2.09
Bug Fix,Low,Senior,C++,Critical,8,4,2,16,4,10,False,0,False,2.21,2,2,0,0,2.96
Refactoring,Medium,Mid,Go,Critical,8,5,3,16,7,16,True,2,False,3.49,2,1,1,1,3.38
Deployment,Medium,Junior,Java,High,12,3,0,24,3,10,False,3,False,3.95,0,2,1,0,4.77
Code Review,Low,Senior,Go,High,8,5,3,16,10,9,False,2,True,3.51,0,3,2,0,3.59
Documentation,High,Junior,Java,Critical,9,4,1,18,5,15,False,2,False,2.42,2,2,0,0,4.47
Refactoring,Low,Tech Lead,Python,High,5,5,0,10,8,10,False,3,False,2.35,1,4,0,0,1.97
Code Review,High,Mid,Other,Medium,5,1,0,10,5,15,True,3,False,3.75,0,1,0,0,2.56
Deployment,Medium,Mid,C++,Medium,7,4,0,14,8,17,True,1,True,2.71,3,0,1,0,3.29
Deployment,Medium,Senior,Go,Critical,8,2,1,16,3,16,False,1,False,4.77,0,1,1,0,3.23
Code Review,Low,Senior,Python,Critical,2,4,0,4,9,15,False,3,False,4.62,1,0,2,1,0.76
Design Review,High,Tech Lead,Go,Low,10,4,1,20,6,14,False,2,True,4.32,1,0,2,1,4.28
Client Meeting,Low,Mid,Go,Critical,10,5,1,20,5,17,True,1,False,3.47,2,1,1,1,3.64
Feature Dev,Low,Tech Lead,JavaScript,High,11,2,3,22,1,15,False,2,False,6.08,0,0,1,1,3.9
Documentation,Low,Junior,Go,Critical,5,2,2,10,1,13,True,1,False,3.49,0,2,0,0,2.35
Deployment,Low,Senior,Other,Medium,2,2,3,4,8,13,True,2,False,5.05,0,0,2,0,1.38
Design Review,Low,Tech Lead,Python,Medium,13,4,2,26,4,16,True,3,False,2.95,1,3,0,0,5.17
Code Review,High,Senior,Go,Medium,11,1,2,22,3,15,False,3,True,1.95,1,0,0,0,6.33
Deployment,Medium,Tech Lead,Go,Medium,7,3,3,14,6,9,False,3,False,2.56,2,1,0,0,3.47
Client Meeting,Medium,Mid,Python,Critical,2,2,0,4,4,14,False,0,False,6.49,0,0,1,1,0.79
Feature Dev,High,Junior,JavaScript,Medium,3,1,0,6,3,15,False,1,False,1.36,1,0,0,0,1.4
Refactoring,Low,Junior,C++,Critical,13,5,3,26,8,16,False,0,False,3.61,1,2,2,0,4.62
Bug Fix,Low,Senior,Go,Medium,2,5,3,4,4,15,False,2,True,3.31,2,2,1,0,1.36
