task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,duration_days
Feature Dev,Medium,Senior,Python,Low,5,2,1,33,10,17,True,3,False,5.2
Research,Medium,Junior,JavaScript,Critical,3,2,5,7,10,11,True,3,True,9.5
Feature Dev,High,Junior,JavaScript,Medium,3,2,3,19,9,18,False,0,True,9.5
Research,Low,Mid,JavaScript,Medium,13,5,3,36,6,13,False,1,True,4.45
Bugfix,Low,Mid,Java,Medium,9,9,4,7,9,11,False,3,True,6.1
Feature Dev,Low,Mid,Java,Low,5,2,3,32,2,18,True,1,True,7.35
Feature Dev,Medium,Senior,Python,Critical,10,3,4,18,4,15,False,2,True,3.8
Research,High,Senior,Python,Critical,9,8,1,26,9,10,True,0,True,3.6
Bugfix,Medium,Senior,JavaScript,Low,3,10,3,9,5,11,False,3,True,4.5
Bugfix,High,Mid,JavaScript,Low,10,8,2,30,5,16,False,2,True,5.55
Feature Dev,Low,Junior,JavaScript,Medium,10,2,3,24,5,13,False,1,False,9.5
Bugfix,Medium,Mid,Python,Critical,12,9,1,27,8,9,True,3,False,6.1
Research,High,Junior,Python,Low,2,1,4,39,9,14,True,0,False,14.0
Research,Low,Junior,Python,Critical,1,8,2,37,14,14,True,3,True,7.5
Research,Medium,Senior,Python,Low,10,4,3,30,14,10,True,1,False,3.1
Bugfix,High,Senior,Java,Critical,7,1,1,5,10,14,False,3,False,8.5
Feature Dev,Low,Mid,Java,Low,7,6,1,7,11,9,False,0,True,4.65
Bugfix,Medium,Senior,Java,Low,4,6,0,25,1,18,False,2,False,3.0
Feature Dev,Medium,Mid,JavaScript,Critical,10,9,1,33,11,14,False,3,False,6.1
Bugfix,Low,Senior,Python,Critical,6,6,0,9,5,18,True,0,True,3.0
Bugfix,High,Senior,Java,Critical,10,8,4,30,7,12,True,1,False,3.6
Research,Low,Senior,Java,Medium,2,5,5,17,13,8,False,1,False,2.9
Feature Dev,Low,Junior,Java,Low,6,9,0,9,5,17,False,3,True,8.2
Feature Dev,Medium,Junior,Java,Low,9,5,1,31,1,10,False,0,True,6.0
Research,Medium,Senior,JavaScript,Low,9,7,0,37,11,18,True,3,False,3.3
Feature Dev,High,Mid,JavaScript,Medium,11,6,2,38,1,9,False,2,True,4.65
Bugfix,High,Mid,Python,Low,10,10,4,8,13,18,True,2,True,6.75
Bugfix,High,Mid,Java,Medium,5,4,0,8,2,9,True,2,False,4.65
